,City,Price,Area,Location,bhk
84,Bangalore,4237000.0,520.0,Bangalore Anekal City,1.0
86,Bangalore,7840000.0,645.0,Bangalore Anekal City,1.0
87,Bangalore,3100000.0,520.0,Bangalore Anekal City,1.0
88,Bangalore,3261999.0,645.0,Bangalore Anekal City,1.0
89,Bangalore,6700000.0,645.0,Bangalore Anekal City,1.0
93,Bangalore,5750000.0,520.0,Bangalore Anekal City,1.0
94,Bangalore,4933000.0,520.0,Bangalore Anekal City,1.0
96,Bangalore,4500000.0,645.0,Bangalore Anekal City,1.0
97,Bangalore,4054000.0,645.0,Bangalore Anekal City,1.0
100,Bangalore,8400000.0,520.0,Bangalore Anekal City,1.0
101,Bangalore,8400000.0,520.0,Bangalore Anekal City,1.0
105,Bangalore,4950000.0,645.0,Bangalore Anekal City,1.0
107,Bangalore,2288000.0,520.0,Bangalore Anekal City,1.0
108,Bangalore,6500000.0,520.0,Bangalore Anekal City,1.0
110,Bangalore,4000000.0,520.0,Bangalore Anekal City,1.0
111,Bangalore,3800000.0,520.0,Bangalore Anekal City,1.0
112,Bangalore,7840000.0,520.0,Bangalore Anekal City,1.0
115,Bangalore,3100000.0,520.0,Bangalore Anekal City,1.0
116,Bangalore,4146000.0,645.0,Bangalore Anekal City,1.0
118,Bangalore,7900000.0,520.0,Bangalore Anekal City,1.0
120,Bangalore,3116000.0,645.0,Bangalore Anekal City,1.0
123,Bangalore,6605000.0,645.0,Bangalore Anekal City,1.0
125,Bangalore,8000000.0,520.0,Bangalore Anekal City,1.0
126,Bangalore,3859000.0,645.0,Bangalore Anekal City,1.0
129,Bangalore,8000000.0,645.0,Bangalore Anekal City,1.0
131,Bangalore,3309000.0,645.0,Bangalore Anekal City,1.0
134,Bangalore,3800000.0,520.0,Bangalore Anekal City,1.0
135,Bangalore,3859000.0,520.0,Bangalore Anekal City,1.0
137,Bangalore,5058000.0,520.0,Bangalore Anekal City,1.0
139,Bangalore,6425000.0,645.0,Bangalore Anekal City,1.0
143,Bangalore,15000000.0,950.0,Bangalore Anekal City,2.0
144,Bangalore,7545999.0,645.0,Bangalore Anekal City,1.0
145,Bangalore,9300000.0,1225.0,Bangalore Anekal City,3.0
148,Bangalore,3500000.0,520.0,Bangalore Anekal City,1.0
149,Bangalore,23000000.0,1025.0,Bangalore Anekal City,2.0
150,Bangalore,9600000.0,520.0,Bangalore Anekal City,1.0
151,Bangalore,6000000.0,520.0,Bangalore Anekal City,1.0
154,Bangalore,17300000.0,1225.0,Bangalore Anekal City,3.0
157,Bangalore,9700000.0,950.0,Bangalore Anekal City,2.0
159,Bangalore,2899000.0,645.0,Bangalore Anekal City,1.0
160,Bangalore,9513000.0,1025.0,Bangalore Anekal City,2.0
161,Bangalore,29300000.0,950.0,Bangalore Anekal City,2.0
162,Bangalore,4372000.0,645.0,Bangalore Anekal City,1.0
167,Bangalore,9369000.0,1735.0,Bangalore Anjanapura,3.0
168,Bangalore,9369000.0,1735.0,Bangalore Anjanapura,3.0
169,Bangalore,9369000.0,1735.0,Bangalore Anjanapura,3.0
170,Bangalore,9180000.0,1700.0,Bangalore Anjanapura,3.0
171,Bangalore,9369000.0,1735.0,Bangalore Anjanapura,3.0
172,Bangalore,8073000.0,1495.0,Bangalore Anjanapura,3.0
173,Bangalore,9180000.0,1700.0,Bangalore Anjanapura,3.0
174,Bangalore,7177000.0,1375.0,Bangalore Anjanapura,2.0
175,Bangalore,6831999.0,1309.0,Bangalore Anjanapura,2.0
176,Bangalore,6138000.0,1176.0,Bangalore Anjanapura,2.0
177,Bangalore,7151000.0,1370.0,Bangalore Anjanapura,2.0
179,Bangalore,6890000.0,1320.0,Bangalore Anjanapura,2.0
